Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2016-08-16,,11.945,11.795,11.87,-0.04,322134.0,3825960.0,,,
2016-08-15,,12.075,11.88,11.9,-0.12,334543.0,4001365.0,,,
2016-08-12,,12.245,12.015,12.02,-0.08,373610.0,4525071.0,,,
2016-08-11,,12.36,11.85,12.1,0.29,993467.0,12100888.0,,,
2016-08-10,,11.93,11.74,11.81,-0.08,520841.0,6162408.0,,,
2016-08-09,,11.915,11.52,11.89,0.37,547553.0,6458014.0,,,
2016-08-08,,11.75,11.5,11.52,-0.1,421354.0,4890144.0,,,
2016-08-05,,11.64,11.37,11.62,0.21,375209.0,4320109.0,,,
2016-08-04,,11.555,11.34,11.41,-0.09,323910.0,3698420.0,,,
2016-08-03,,11.565,11.4,11.5,,313595.0,3602898.0,,,
2016-08-02,,11.62,11.41,11.5,-0.11,394644.0,4538688.0,,,
2016-08-01,,11.795,11.52,11.6,-0.11,658200.0,7655171.0,,,
2016-07-29,,11.71,11.505,11.71,0.25,547664.0,6389819.0,,,
2016-07-28,,11.61,11.175,11.46,0.25,1012241.0,11589873.0,,,
2016-07-27,,11.215,11.065,11.22,0.19,640818.0,7150298.0,,,
2016-07-26,,11.105,10.875,11.03,0.11,530581.0,5849784.0,,,
2016-07-25,,11.055,10.805,10.93,-0.08,547629.0,5974287.0,,,
2016-07-22,,11.145,10.935,11.0,-0.19,820883.0,9022071.0,,,
2016-07-13,,12.085,11.785,11.83,-0.1,733455.0,8721561.0,,,
2016-07-12,,11.99,11.73,11.93,0.23,649135.0,7717016.0,,,
2016-07-11,,11.73,11.25,11.7,0.52,1230782.0,14257321.0,,,
2016-07-08,,11.26,10.73,11.19,0.41,592182.0,6587547.0,,,
2016-07-07,,11.045,10.45,10.78,0.39,683798.0,7402912.0,,,
2016-07-06,,10.595,10.23,10.4,-0.05,1099416.0,11435469.0,,,
2016-07-05,,10.76,10.395,10.45,-0.27,885985.0,9308398.0,,,
2016-07-04,,10.98,10.585,10.72,-0.04,1439993.0,15464317.0,,,
2016-07-01,,10.775,10.175,10.75,0.58,1515393.0,15924883.0,,,
2016-06-30,,10.245,10.09,10.17,-0.12,1426790.0,14506061.0,,,
2016-06-28,,10.75,10.38,10.57,0.31,1324255.0,13982906.0,,,
2016-06-27,,11.92,10.2,10.26,-1.54,2569670.0,27870258.0,,,
2016-06-24,,12.1,10.85,11.8,-1.8,3939757.0,45557428.0,,,
2016-06-23,,13.815,13.415,13.6,0.15,852187.0,11590464.0,,,
2016-06-22,,13.515,13.13,13.45,0.2,723962.0,9675515.0,,,
2016-06-21,,13.45,13.255,13.26,-0.07,642790.0,8574410.0,,,
2016-06-17,,12.765,12.275,12.76,0.58,930119.0,11768370.0,,,
