ID,MOSTYPE,MAANTHUI,MGEMOMV,MGEMLEEF,MOSHOOFD,MGODRK,MGODPR,MGODOV,MGODGE,MRELGE,MRELSA,MRELOV,MFALLEEN,MFGEKIND,MFWEKIND,MOPLHOOG,MOPLMIDD,MOPLLAAG,MBERHOOG,MBERZELF,MBERBOER,MBERMIDD,MBERARBG,MBERARBO,MSKA,MSKB1,MSKB2,MSKC,MSKD,MHHUUR,MHKOOP,MAUT1,MAUT2,MAUT0,MZFONDS,MZPART,MINKM30,MINK3045,MINK4575,MINK7512,MINK123M,MINKGEM,MKOOPKLA,PWAPART,PWABEDR,PWALAND,PPERSAUT,PBESAUT,PMOTSCO,PVRAAUT,PAANHANG,PTRACTOR,PWERKT,PBROM,PLEVEN,PPERSONG,PGEZONG,PWAOREG,PBRAND,PZEILPL,PPLEZIER,PFIETS,PINBOED,PBYSTAND,AWAPART,AWABEDR,AWALAND,APERSAUT,ABESAUT,AMOTSCO,AVRAAUT,AAANHANG,ATRACTOR,AWERKT,ABROM,ALEVEN,APERSONG,AGEZONG,AWAOREG,ABRAND,AZEILPL,APLEZIER,AFIETS,AINBOED,ABYSTAND,Purchase
198,35,1,2,3,8,0,5,2,2,6,1,2,2,3,4,3,1,6,2,0,0,3,3,2,2,1,2,5,0,2,7,7,0,2,8,1,2,5,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
676,33,1,3,3,8,0,4,0,5,9,0,0,0,3,6,1,2,7,1,0,0,3,4,2,1,1,1,6,1,5,4,6,1,2,7,2,2,4,3,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
330,33,1,3,3,8,0,4,0,5,9,0,0,0,3,6,1,2,7,1,0,0,3,4,2,1,1,1,6,1,5,4,6,1,2,7,2,2,4,3,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1231,11,1,2,3,3,1,4,1,5,5,1,4,3,4,2,0,4,5,1,1,2,4,3,1,1,3,3,3,1,2,7,5,1,4,7,2,5,3,2,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
5545,3,1,1,2,1,0,5,0,4,0,3,6,6,3,0,3,3,3,0,0,0,6,0,3,0,4,2,2,2,7,2,5,0,4,7,2,5,4,0,0,0,2,6,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
374,9,1,4,2,3,2,4,1,3,7,1,1,1,2,6,3,4,2,3,0,0,4,2,1,3,3,3,2,0,2,7,9,0,0,5,4,2,3,5,0,0,4,4,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2344,34,1,4,2,8,0,5,0,4,9,0,0,0,0,9,0,4,5,0,2,0,0,7,0,2,0,0,7,0,7,2,4,5,0,7,2,4,2,2,2,0,4,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
2184,38,1,2,4,9,1,6,0,2,7,0,2,0,5,4,0,0,9,5,0,0,0,0,4,0,0,0,5,4,9,0,6,0,3,7,2,0,4,5,0,0,4,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1338,41,1,3,3,10,0,4,1,4,7,0,2,2,3,5,0,2,7,0,0,3,0,3,3,2,0,2,3,4,3,6,5,2,3,7,2,5,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
504,12,1,3,2,3,1,3,0,5,7,1,2,0,3,6,2,4,3,3,0,0,3,0,3,3,1,4,3,0,4,5,7,2,0,5,4,2,4,3,0,0,4,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
4404,17,1,2,2,4,3,1,2,5,2,3,5,5,2,2,4,3,2,3,1,0,3,1,3,3,2,2,3,1,7,2,2,0,7,6,3,5,3,2,1,1,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
4434,10,1,4,2,3,0,5,0,4,9,0,0,0,3,6,0,4,5,0,0,0,4,5,0,0,0,4,5,0,3,6,7,1,1,5,4,2,7,0,0,0,3,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
177,8,1,3,3,2,1,4,1,4,9,0,0,0,4,5,3,6,1,2,0,0,4,2,2,2,3,3,2,0,0,9,7,2,0,2,7,0,1,6,3,1,6,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
5484,13,1,3,2,3,1,4,2,3,6,2,1,1,4,5,3,5,2,5,0,1,3,1,2,4,2,2,2,0,2,7,6,1,2,4,5,1,1,8,1,0,5,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
274,1,1,2,4,1,1,6,1,3,5,0,4,0,5,4,0,4,5,5,0,0,4,0,0,0,3,6,0,0,4,5,5,2,4,4,5,2,3,3,2,1,5,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
839,36,1,2,2,8,0,5,0,4,5,1,4,4,2,4,1,3,5,0,0,1,5,2,2,1,3,0,4,2,6,3,4,2,4,8,1,5,3,2,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
938,23,1,1,2,5,1,4,1,4,2,2,5,5,3,1,1,4,4,2,0,0,2,2,4,2,1,2,5,1,7,2,6,0,3,7,2,4,3,2,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
1179,10,1,3,3,3,0,5,0,4,8,1,0,1,3,5,1,5,3,3,0,0,2,1,3,0,3,4,3,0,0,9,9,0,0,5,4,2,4,4,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
490,40,1,3,4,10,0,7,0,2,6,0,3,2,2,5,0,5,5,3,0,5,1,0,1,3,1,5,1,0,0,9,3,3,3,2,7,2,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5475,8,1,2,4,2,1,4,2,4,5,2,3,0,6,3,6,3,0,0,0,0,6,3,0,0,6,0,3,0,0,9,6,1,2,7,2,0,0,9,0,0,4,7,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
1889,22,1,1,2,5,0,5,2,2,1,4,5,5,4,1,1,6,2,1,0,0,6,1,3,1,4,3,3,0,9,0,3,2,4,6,3,3,4,3,0,0,3,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2583,8,1,3,2,2,0,5,0,4,9,0,0,0,4,5,0,4,5,0,0,0,4,0,5,0,4,0,5,0,0,9,9,0,0,9,0,5,2,2,0,0,3,7,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
