id,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation,Made Donation in March 2007
0,2,4,1000,14,1
2,21,2,500,26,0
3,9,5,1250,19,0
5,2,6,1500,28,0
6,6,2,500,11,1
7,4,11,2750,95,0
8,2,6,1500,16,1
10,14,2,500,14,0
11,7,2,500,16,0
13,16,2,500,16,0
15,16,1,250,16,0
17,11,5,1250,38,0
18,14,1,250,14,0
19,2,2,500,16,0
20,16,6,1500,35,1
21,16,7,1750,39,0
22,23,19,4750,62,0
24,4,2,500,4,1
25,14,1,250,14,0
26,11,2,500,21,0
27,21,1,250,21,0
29,2,9,2250,74,0
30,23,1,250,23,0
31,14,7,1750,26,0
32,14,7,1750,47,0
35,2,11,2750,88,0
36,11,8,2000,48,0
37,18,2,500,23,0
38,4,4,1000,43,1
39,2,43,10750,86,1
40,2,14,3500,48,1
41,2,6,1500,47,0
42,21,3,750,35,0
43,11,2,500,14,0
44,14,5,1250,26,0
45,2,2,500,4,0
46,14,4,1000,26,0
47,2,7,1750,14,1
49,23,3,750,39,0
50,2,3,750,22,0
51,2,2,500,11,0
52,9,2,500,52,0
53,2,9,2250,75,0
54,4,2,500,4,0
55,8,9,2250,64,0
57,2,1,250,2,0
58,21,1,250,21,0
59,13,8,2000,26,0
60,21,1,250,21,0
61,2,1,250,2,0
62,8,8,2000,52,1
66,2,2,500,4,0
68,2,1,250,2,0
69,21,5,1250,60,0
70,11,3,750,16,1
71,4,7,1750,82,0
72,9,1,250,9,0
73,11,3,750,40,1
74,72,1,250,72,0
75,4,1,250,4,0
76,14,16,4000,70,0
77,11,1,250,11,0
78,23,2,500,26,0
79,2,1,250,2,1
80,4,1,250,4,0
81,2,3,750,19,0
86,4,6,1500,30,0
87,16,1,250,16,0
88,2,1,250,2,0
89,4,2,500,9,0
90,2,1,250,2,0
91,10,5,1250,38,0
92,4,7,1750,22,1
94,2,5,1250,26,0
95,14,3,750,35,0
97,4,1,250,4,0
99,2,4,1000,23,0
100,16,15,3750,87,0
102,11,5,1250,35,0
104,2,11,2750,28,0
106,1,14,3500,95,0
107,2,11,2750,40,1
108,11,5,1250,18,0
109,16,3,750,35,0
110,23,1,250,23,0
111,4,1,250,4,1
112,14,3,750,83,0
113,9,9,2250,45,0
114,14,2,500,14,0
115,2,3,750,35,0
116,21,1,250,21,0
117,23,1,250,23,0
118,21,6,1500,48,0
120,4,4,1000,46,0
121,12,9,2250,60,0
122,14,1,250,14,0
123,11,6,1500,28,0
124,2,4,1000,14,0
125,14,3,750,26,0
126,14,5,1250,64,0
128,11,1,250,11,1
130,4,2,500,46,0
132,4,5,1250,16,1
133,14,5,1250,28,0
134,4,9,2250,28,1
135,4,2,500,9,1
136,4,7,1750,62,0
137,11,2,500,26,0
140,2,7,1750,32,1
141,23,1,250,23,0
142,9,3,750,34,0
144,2,4,1000,16,0
145,2,2,500,10,1
146,4,7,1750,25,0
147,4,6,1500,35,1
148,11,3,750,26,0
149,2,44,11000,98,0
150,4,1,250,4,0
151,4,3,750,16,0
152,11,1,250,11,0
153,14,4,1000,26,0
155,4,9,2250,40,0
157,4,33,8250,98,1
158,4,1,250,4,0
159,11,1,250,11,0
160,2,20,5000,45,1
163,16,1,250,16,0
164,1,12,3000,35,0
165,2,2,500,11,1
166,14,1,250,14,0
167,16,4,1000,40,0
168,2,2,500,10,0
169,23,1,250,23,0
170,2,8,2000,38,1
171,14,16,4000,98,0
172,2,5,1250,33,1
173,16,4,1000,58,0
175,4,10,2500,28,1
177,14,4,1000,57,0
178,16,1,250,16,0
179,13,7,1750,76,0
180,23,3,750,33,0
182,1,7,1750,57,0
183,25,6,1500,50,0
184,16,1,250,16,0
185,14,4,1000,30,0
186,14,2,500,16,0
188,4,2,500,13,0
190,4,4,1000,4,1
191,2,15,3750,49,1
193,23,5,1250,33,0
194,21,13,3250,57,0
195,2,4,1000,43,0
197,16,1,250,16,0
198,16,1,250,16,0
200,4,16,4000,98,1
201,11,6,1500,71,0
202,16,1,250,16,0
203,2,6,1500,45,0
204,14,3,750,79,0
205,12,12,3000,58,0
206,4,2,500,59,0
208,21,1,250,21,0
209,16,16,4000,77,0
210,23,2,500,28,0
211,2,1,250,2,0
212,2,11,2750,79,1
213,4,3,750,16,0
214,0,2,500,4,0
215,4,5,1250,58,0
216,11,2,500,17,0
217,4,1,250,4,0
218,2,5,1250,63,0
219,7,12,3000,86,0
220,2,1,250,2,0
222,4,10,2500,28,1
223,9,1,250,9,0
225,14,1,250,14,0
226,3,5,1250,12,1
227,2,1,250,2,0
229,4,9,2250,52,0
230,9,3,750,14,0
232,21,1,250,21,0
234,9,3,750,52,0
236,16,1,250,16,0
237,2,1,250,2,0
238,2,2,500,14,0
239,4,1,250,4,0
242,4,7,1750,58,0
243,11,6,1500,41,0
247,2,1,250,2,1
250,4,13,3250,39,1
251,21,1,250,21,0
252,4,1,250,4,0
253,16,7,1750,38,0
255,2,3,750,11,0
256,16,8,2000,28,0
257,11,14,3500,73,1
258,1,10,2500,43,1
259,2,6,1500,26,0
260,14,4,1000,28,1
261,4,2,500,29,0
264,4,3,750,25,1
265,23,3,750,28,0
266,9,2,500,52,0
267,11,2,500,25,0
268,3,2,500,23,0
269,11,7,1750,37,0
270,12,11,2750,39,0
271,2,3,750,14,0
273,9,9,2250,54,0
274,2,10,2500,64,0
275,2,1,250,2,0
277,21,3,750,26,0
279,2,12,3000,82,0
280,4,10,2500,28,1
281,26,5,1250,49,1
282,4,1,250,4,0
284,2,5,1250,34,0
285,1,13,3250,47,0
286,2,5,1250,16,0
287,21,3,750,70,0
288,3,8,2000,50,0
291,2,1,250,2,0
292,21,2,500,35,0
293,2,1,250,2,1
295,23,4,1000,87,0
296,4,7,1750,52,0
298,2,12,3000,47,1
302,21,1,250,21,0
304,2,4,1000,70,0
305,21,3,750,64,0
308,4,5,1250,26,1
310,3,5,1250,38,0
311,4,2,500,4,0
312,14,8,2000,50,0
313,14,5,1250,14,0
314,9,8,2000,38,1
315,16,10,2500,89,0
318,4,2,500,51,1
319,4,4,1000,18,0
320,16,3,750,21,0
322,2,5,1250,16,1
324,14,8,2000,50,1
325,23,15,3750,57,0
326,14,4,1000,38,0
327,21,2,500,25,0
328,2,4,1000,16,0
329,4,7,1750,32,1
330,1,14,3500,58,0
331,4,9,2250,55,0
